"descripcion","modelo","marca","capacidad"
"UQVXTUJD",2021,"BMW",10
"ZYRYSUO2",2020,"BMW",10
"VJWIAT3L",2019,"BMW",1
"PGSXDRT24HA",2021,"BMW",9
"LKKDWNEWLBE",2017,"Ford",4
"AFUJPNG1",2015,"Ford",3
"BXLVTEKA",2016,"Ford",9
"JRHNUKWAWN0",2021,"Ford",1
"ODDQYRI6Y1L",1986,"Ford",2
"MNTJXLUE73Z",2020,"Ford",1
"SBNZJTS8",2021,"Ford",6
"JFIWTX1D",2016,"Ford",6
"MAFWOVFJ",1979,"Ford",3
"WEVGSGSR",2022,"Ford",9
"GRUDYV1IM6K",2015,"Ford",9
"PALTZZWL4BN",2017,"Ford",5
"LPIITD0A",2020,"Ford",3
"EKHDKYTO",2016,"Ford",1
"RXQUDE20R73",2010,"Ford",9
"EGOPCDY4GLE",2017,"Ford",2
"IEARQR1R",2017,"Ford",4
"PMKXXNM7",2015,"Ford",3
"GJFYRBK4",2022,"Ford",10
"PPKVMTS2",1989,"Ford",2
"PJNNRYVT",2015,"Ford",4
"MNLQZO9TZKE",2021,"Ford",2
"XDKSYOFYX8D",2021,"Ford",9
"YFLNFGBC",2021,"Ford",9
"SUZTYAETPYX",2019,"Ford",9
"UMVJDC7K9R6",2017,"Ford",1
"OBGXOF7NBKX",2019,"Ford",9
"VZJSRXW4",2019,"Lexus",2
"KXOKUFJRYL9",2016,"Lexus",5
"NAJRAJTBRQY",2015,"Lexus",6
"FQCCDGUY",2022,"Lexus",7
"FBWSSU4R",2020,"Lexus",10
"CQQCFSZ3",2022,"Lexus",10
"EHJFNDXDPIT",2021,"Lexus",2
"GTVOLSQ5",2018,"Lexus",1
"HRPIST2L",2021,"Lexus",1
"ZXPPVCPO",2018,"Lexus",3
"IGTSKQA35BB",2022,"Lexus",4
"GQVUQLYZVG0",2022,"Lexus",8
"RTVBLQQ7IWB",1973,"Lexus",8
"FZGASE3ZQUS",2016,"Lexus",7
"JROGIK0EY64",2015,"Lexus",7
"ABILEJZ6Y4P",2015,"Lexus",2
"MSXSSVG69HA",2019,"Lexus",8
"QNQWFWE27X2",2015,"Lexus",10
"SYMZBD4X",2022,"Lexus",2
"YCQJLVDC57D",2017,"Lexus",4
"PWOGIRRPGW3",2017,"Lexus",6
"KFJMZN7L",2021,"Lexus",1
"RCKLFYPR",2021,"Lexus",4
"KAXZLLYA",2017,"Lexus",10
"VSHWRHWT",2018,"Lexus",3
"FDCISPQC",2015,"Lexus",2
"QEVUSYX8",2015,"Lexus",3
"YGJKOH58",2019,"Lexus",4
"GGECTANLZSF",2016,"Lexus",6
"ZVVGHA31ZKF",2007,"Lexus",8
"YPMAXOC7",2022,"Lexus",5
"NETBWA9E",1994,"Mercedes-Benz",6
"FDQYRXTLFWF",2021,"Mercedes-Benz",3
"BOHOSKXEWLR",2019,"Mercedes-Benz",6
"FYILUPNH",2022,"Mercedes-Benz",3
"PJLYDV0R",2015,"Mercedes-Benz",9
"LXBFKH84OLG",2018,"Mercedes-Benz",1
"MNOAOPN6",2017,"Mercedes-Benz",9
"YHKCYCK4",2017,"Mercedes-Benz",7
"BVEZQYQFYQA",2015,"Mercedes-Benz",1
"NQPKPCMX",2021,"Mercedes-Benz",9
"OUDXZWDW",2018,"Mercedes-Benz",4
"UXXKBGFR",2017,"Mercedes-Benz",4
"XGIVYHDM0LJ",2018,"Mercedes-Benz",7
"HWSFDXZO",2003,"Mercedes-Benz",4
"XGMPXJ65",2018,"Mercedes-Benz",10
"AALWEWBYA9W",2021,"Mercedes-Benz",7
"ECMWHRK3",2015,"Mercedes-Benz",4
"VSMYVTRST6D",2018,"Mercedes-Benz",7
"HPAZQSZ390W",2015,"Mercedes-Benz",5
"ZYXCJWUPJ26",2019,"Mercedes-Benz",5
"KABNZBPDJ6B",2021,"Mercedes-Benz",8
"CVHXAMR9UFM",2018,"Mercedes-Benz",8
"YMBSGNEJGE0",2021,"Mercedes-Benz",9
"PPRPBI0VG05",2020,"Mercedes-Benz",9
"LYFSYAZN",2022,"Opel",2
"LBFFUWNDHM6",2018,"Opel",7
"XIKMQGAEMRO",2016,"Opel",8
"AUZBEJECG5C",2016,"Opel",8
"MLPZDE1Z",2020,"Opel",3
"HFSMFTL2",2017,"Opel",4
"NWADRTOQ",2018,"Opel",3
"EKFCKWBYKXH",2015,"Opel",7
"ATRQAQ2EX93",2016,"Opel",2
"MBNRKKP1",2019,"Opel",9
"BCSUCGU9",2016,"Opel",6
"KZUAOSKR",2015,"Opel",5
"YNENTTQ12TB",2017,"Opel",10
"FIESAWZV2YU",2021,"Opel",6
"TERDRC4EQA8",2017,"Opel",8
"SRJZHUWA",2020,"Opel",5
"ETLGWGUZ",2020,"Opel",7
"OIJBCKDK",2016,"Opel",1
"DKLDVZUD3EN",2018,"Opel",3
"UTUIWVZC",2016,"Opel",3
"MKMNFUGY",2020,"Opel",10
"GIVFUSXOZWY",2016,"Opel",3
"LBUKAEJX",2017,"Opel",7
"ABKXUBGMAQI",2019,"Opel",9
"JNWJMKT84Y5",2015,"Opel",10
"HKVIIJRS6PE",2015,"Opel",10
"EWBCPMDP",2021,"Opel",9
"DLEUQO3J",2020,"Opel",2
"UNVUOZ2YF8L",2019,"Opel",1
"UFQXODBZ",2022,"Opel",4
"KSURKBI0P09",2018,"Opel",5
"EKWXNR2DBJQ",2017,"Renault",8
"UKNZGZT8",2022,"Renault",7
"WZSSBM2IAUP",2017,"Renault",3
"OMHYSADD",2016,"Renault",9
"NHSUAWSQ",2020,"Renault",7
"GDZTWFAY",2019,"Renault",4
"REUUTGJP",2021,"Renault",10
"HYQLUPRLZC9",2018,"Renault",10
"AXUJJK80U1U",2021,"Renault",8
"FGDYTL8STAS",2020,"Renault",4
"VCEYFPMR",2015,"Renault",8
"QNTSQCKJ",2022,"Renault",3
"TBVDYQAD8FR",2021,"Renault",1
"EYZFECFKOHJ",2017,"Renault",7
"WIOKDPR62A2",2015,"Renault",4
"FWKJEDYE",2019,"Renault",1
"VVRPKN6OE5J",2016,"Renault",2
"EBGXKTVKKHE",2019,"Renault",10
"ZIUOCOGCP9K",2022,"Renault",5
"UIMCZDFW3JW",2018,"Renault",5
"XOOWCDOH",2022,"Renault",6
"VNUPEDNPYTH",2016,"Renault",1
"WXUSTPPQ",2007,"Renault",4
"NILTFX8C23G",2021,"Renault",5
"NHWCCZET",2022,"Renault",8
"KQCZHVFOG1G",2019,"Renault",9
"QPMIOWC4",2021,"Renault",5
"OVKQHYDX",2016,"Renault",9
"BESFBQKX",2019,"Renault",3
"NLMJOIVUIOT",2021,"Renault",5
"DLDTFLUDXQD",2016,"Renault",1
"ZYEFFENX",2022,"Renault",5
"HARXBX4I",2015,"Renault",9
"NAPVJCMP",2021,"Seat",9
"YQAMJYTD",2017,"Seat",9
"BIPHNAPD",2020,"Seat",4
"MLDSICBCE6Y",2016,"Seat",1
"BRRWFQTD",2020,"Seat",10
"WQCQQWK2P78",2019,"Seat",4
"VHOYOG8F",2020,"Seat",8
"AUBUFW8P",2016,"Seat",10
"WIEMJQ43",2021,"Seat",6
"JCQJOL5BPAX",2012,"Seat",3
"UNLMSQUK",2020,"Seat",8
"GBBXVHL5JNL",2017,"Seat",3
"YWWXZA3P1Y5",2018,"Seat",4
"MAJFSW79",2021,"Seat",10
"RULEPT3Y500",2021,"Seat",10
"SHCTUXZU",2015,"Seat",6
"HUQDUDI9",2015,"Seat",6
"YAJFPANBBA6",2016,"Seat",6
"VSTFJOWSJX8",2021,"Seat",10
"HOMTMUL6",1977,"Seat",7
"GKZFOB4LKWQ",2017,"Seat",2
"FFSYZDBT",2022,"Seat",10
"YCYNQES5",2016,"Seat",5
"ENFEQGIB31H",2016,"Seat",10
"DYZEBCRTEJQ",2018,"Seat",7
"QABAEJ9O",2021,"Seat",10
"BANBXJHC",2016,"Seat",2
"ACQWKIRMBE2",2016,"Seat",7
"HLOTTHA5",2019,"Seat",6
"BRCRVGYCC1L",2020,"Seat",2
"RLSHGYSI8GA",2016,"Seat",4
